wordform,lemma,pos_tag
Sechsecks,Sechseck,NOUN
ergeben,ergeben,VERB
beispielweise,beispielweise,ADV
Ausgangsform,Ausgangsform,NOUN
Plättchen,Plättchen,NOUN
Furnier,Furnier,NOUN
Schraubzwingen,Schraubzwingen,NOUN
Brettspiel,Brettspiel,NOUN
Millimeter,Millimeter,NOUN
abzusägen,absägen,VERB
Stärke,Stärke,NOUN
Furniers,Furnier,NOUN
sechseckigen,sechseckig,ADJ
millimeterdicken,millimeterdick,NOUN
Furnierstücke,Furnierstuck,NOUN
Holzunterlage,Holzunterlage,NOUN
Ganze,Ganze,NOUN
einzigen,einzig,ADJ
darf,dürfen,AUX
Lücke,Lücke,NOUN
nirgendwo,nirgendwo,ADV
brett,brett,NOUN
schleifen,schleifen,VERB
Schleifgerät,Schleifgerät,NOUN
schaben,schaben,VERB
Schabemesser,Schabemesser,NOUN
verbliebenen,verblieben,NOUN
Zwischenräume,Zwischenraum,NOUN
Sägemehl,Sägemehl,NOUN
Ritzen,Ritze|Ritzen,NOUN
offen,offen,ADJ
geblieben,bleiben,VERB
geschlossen,schließen,VERB
erscheint,erscheinen,VERB
Marmor,Marmor,NOUN
Lackierer,Lackierer,NOUN
lackieren,lackieren,VERB
hauptsächlich,hauptsächlich,ADJ
Reißfeder,Reißfeder,NOUN
Meißel,Meißel,NOUN
Hammer,Hammer,NOUN
Schraubenzieher,Schraubenzieher,NOUN
Nägeln,Nagel,NOUN
Werkzeugen,Werkzeug,NOUN
Hobel,Hobel,NOUN
Spitzbohrer,Spitzbohrer,NOUN
hör,her,VERB
Holzhobel,Holzhobel,NOUN
Aufrauhen,Aufrauhe,NOUN
Holzes,Holz,NOUN
zusammengeleimt,zusammenleimen,VERB
fertiggemacht,fertigmamhen,VERB
liegenlassen,liegenlassen,VERB
auflöst,auflösen,VERB
trocken,trock,ADJ
Zersägen,Zersag,NOUN
übernimmt,übernehmen,VERB
beisammen,beisammen,ADJ
Zugund,Zugund,NOUN
Reittiere,Reittier,NOUN
Pferd,Pferd,NOUN
milād,milād,PROPN
Muxx,Muxx,PROPN
auskennst,auskennen,VERB
kaufst,kaufsen,VERB
Fuß,Fuß,NOUN
Ortsanfang,Ortsanfang,NOUN
fragen,fragen,VERB
Wer,wer,PRON
führte,führen,VERB
Hadschi,Hadschi,PROPN
besseres,gut,ADJ
männlicher,männlich,ADJ
Tugend,Tugend,NOUN
schauen,schauen,VERB
wieviel,wieviel,ADV
einigten,einigen,VERB
fünfhundert,fünfhundert,NUM
Notar,Notar,NOUN
wahr,wahr,ADJ
hörst,hören,VERB
Kauf,Kauf,NOUN
notariell,notariell,ADJ
beglaubigen,beglaubigen,VERB
hierherkommst,hierherkommen,VERB
reitest,reiten,VERB
nimmst,nehmen,VERB
Du,du,PRON
sparst,Sparst,NOUN
Kosten,Kosten,NOUN
überreden,überreden,VERB
deinen,dein,PRON
Besitz,Besitz,NOUN
vermehren,vermehren,VERB
lange,lang,ADJ
erhalten,erhalten,VERB
froh,froh,ADJ
wandten,wenden,VERB
Sicherheit,Sicherheit,NOUN
vorläufig,vorläufig,ADJ
Freunden,Freund,NOUN
Milāds,Milāds,PROPN
dasaßen,dasaßen,VERB
Sohn,Sohn,NOUN
stiehlst,Stiehlst,NOUN
sogar,sogar,ADV
Verbrecher,Verbrecher,NOUN
gekauft,kaufen,VERB
nimm,nehmen,VERB
einstecke,einstecken,VERB
Willen,Wille,NOUN
mitnehme,mitnehme,VERB
Nimm,nehmen,VERB
erleuchtete,erleuchten,VERB
Verstand,Verstand,NOUN
Büro,Büro,NOUN
Notars,Notar,NOUN
widerfahren,widerfahren,VERB
rätst,ratsen,VERB
verfluchen,verfluchen,VERB
beglaubigte,beglaubigen,VERB
Pferdes,Pferd,NOUN
bestellte,bestellen,VERB
Zeugen,Zeuge,NOUN
verkrüppelt,verkrüppeln,VERB
Franken,Franke,NOUN
wert,wert,ADJ
Mannesehre,Mannesehre,NOUN
niederzumachen,niedermamhen,VERB
neunzehn,neunzehn,NUM
Gebühr,Gebühr,NOUN
trug,tragen,VERB
notarielle,notariell,ADJ
Urkunde,Urkunde,NOUN
Schlappen,Schlappe,NOUN
bleibst,bleiben,VERB
kommst,kommsen,VERB
näher,nah,ADJ
Hieb,Hieb,NOUN
hol,hol,NOUN
schaff,schaff,NOUN
Gegenwart,Gegenwart,NOUN
Polizeiwache,Polizeiwache,NOUN
Polizist,Polizist,NOUN
mußt,müssen,AUX
Richter,Richter,NOUN
Chef,Chef,NOUN
Polizeistation,Polizeistation,NOUN
schreibst,schreiben,VERB
Gesuch,Gesuch,NOUN
legst,legen,VERB
Kommentar,Kommentar,NOUN
daraufschreiben,daraufschreiben,VERB
Befehl,Befehl,NOUN
Dokumente,Dokument,NOUN
schreiben,schreiben,VERB
Bittesehr,Bittesehr,INTJ
drehte,drehen,VERB
bezahlt,bezahlen,VERB
Para,Para,PROPN
verweigert,verweigern,VERB
Beleg,Beleg,NOUN
Dokument,Dokument,NOUN
schrieb,schreiben,VERB
Aushändigung,Aushändigung,NOUN
Žurži,Žurži,PROPN
erfolgen,erfolgen,VERB
sofort,sofort,ADV
Polizeichef,Polizeichef,NOUN
jawohl,jawohl,ADV
Bescheid,Bescheid,NOUN
Richters,Richter,NOUN
bittesehr,bittesehr,ADV
Freundschaft,Freundschaft,NOUN
glaubte,glauben,VERB
Polizisten,Polizist,NOUN
Dein,dein,PRON
begehrst,begehrsen,VERB
Legt,Legt,NOUN
Sattel,Sattel,NOUN
Sattelgurt,Sattelgurt,NOUN
genügt,nügen,VERB
reicht,reichen,VERB
fandest,fandest,NOUN
Habe,haben,AUX
besiegt,besiegen,VERB
verfolgte,verfolgen,VERB
Mühlen,Mühle,NOUN
verließ,verlassen,VERB
glücklich,glücklich,ADJ
segnen,segnen,VERB
Jüngling,Jüngling,NOUN
bereits,bereits,ADV
Nadīm,Nadīm,PROPN
keiner,kein,DET
vorbeigekommen,vorbeikommen,VERB
außer,außer,ADP
iß,essen,VERB
Jetzt,jetzt,ADV
füllten,füllen,VERB
Bäuche,Bauch,NOUN
ritten,ritten,VERB
əl,əl,X
Rennen,Rennen,NOUN
Launen,Laun,NOUN
Pferde,Pferd,NOUN
abwerfen,abwerfen,VERB
weglaufen,weglaufen,VERB
hältst,haltsen,VERB
hinter,hinter,ADP
halbem,halb,NOUN
festhalten,festhalten,VERB
auszuprobieren,ausprobieren,VERB
tōwt,tōwt,PROPN
hohem,hoch,ADJ
sollst,sollen,AUX
herziehen,herziehen,VERB
stieß,stoßen,VERB
Tōwt,Tōwt,PROPN
Grube,Grube,PROPN
gegraben,greben,VERB
fielen,fallen,VERB
vorbei,vorbei,ADV
Ilyas,Ilyas,PROPN
Siʕit,Siʕit,PROPN
eng,eng,ADJ
ergriff,ergreifen,VERB
gerannt,nennen,VERB
Gehört,gehören,VERB
gedankt,denken,VERB
Betrachten,betrachten,VERB
taugte,taugen,VERB
betrachtete,betrachten,VERB
Anschauen,Anschau,NOUN
Niṣpō,Niṣpō,PROPN
Dies,dieser,DET
verkaufst,verkaufsen,VERB
verboten,verbieten,VERB
sechshundert,sechshundert,NUM
Tasche,Tasche,NOUN
fehlten,fehlen,VERB
stunde,stund,NOUN
kannte,kennen,VERB
Nach,nach,ADP
zahlst,zahlen,VERB
verschwinde,verschwinden,VERB
Auch,auch,ADV
Ziege,Ziege,NOUN
gefiel,gefallen,VERB
Gib,geben,VERB
Rest,Rest,NOUN
Maḥfuḏ̣,Maḥfuḏ̣,PROPN
überein,überein,ADV
handeln,handeln,VERB
dreitausend,dreitausend,NUM
Quṭayfe,Quṭayfe,PROPN
suchend,suchend,ADJ
gelang,gelingen,VERB
finden,finden,VERB
Mʕaḏ̣ḏ̣amiyye,Mʕaḏ̣ḏ̣amiyye,PROPN
möglich,möglich,ADJ
Naṣriyye,Naṣriyye,PROPN
suchten,suchen,VERB
dahingingen,dahingingen,ADV
Pflanzung,Pflanzung,NOUN
bepflanzt,bepflanzen,VERB
hineingehen,hineingehen,VERB
Hunger,Hunger,NOUN
begräbt,begraben,VERB
Äpfel,Apfel,NOUN
beschimpfen,beschimpfen,VERB
ausquetschen,ausquetschen,VERB
Pflücken,Pflücke,NOUN
steckte,stecken,VERB
ebenso,ebenso,ADV
entlang,entlang,ADP
Traktor,Traktor,NOUN
fährst,fahren,VERB
ei,ei,INTJ
aufsitzen,aufsitzen,VERB
Karrosserie,Karrosserie,NOUN
unterhielten,unterhalten,VERB
wurden,werden,AUX
hochgeschleudert,hochschleudern,VERB
eingeschlafen,einschlafen,VERB
Brachland,Brachland,NOUN
Kreuzung,Kreuzung,NOUN
Qaṣṭal,Qaṣṭal,PROPN
halt,halt,ADV
gelangten,gelangen,VERB
starben,sterben,VERB
näherte,nähern,VERB
würgten,würgen,VERB
absteigen,absteigen,VERB
Mḥammad,Mḥammad,PROPN
Abu,Abu,PROPN
Gabra,Gabra,PROPN
buk,backen,VERB
suchte,suchen,VERB
Zimmer,Zimmer,NOUN
setze,setzen,VERB
allein,allein,ADJ
na,na,PART
Weinblätter,Weinblatt,NOUN
Stapel,Stapel,NOUN
angehen,angehen,VERB
sarkes,Sark,NOUN
neun,neun,NUM
gefüllten,gefüllt,ADJ
Weinblättern,Weinblatter,NOUN
bloßstellen,bloßstellen,VERB
Bewohner,Bewohner,NOUN
geizig,geizig,ADJ
wohl,wohl,ADV
solcher,solcher,DET
Großzügigkeit,Großzügigkeit,NOUN
Mach,machen,VERB
Sorgen,Sorge|Sorgen,NOUN
kenne,kennen,VERB
oft,oft,ADV
vorgesetzt,vorsetzen,VERB
möchten,mögen,AUX
Gesicht,Gesicht,NOUN
Unglück,Unglück,NOUN
nie,nie,ADV
zusammentun,zusammentun,VERB
gerettet,retten,VERB
worden,werden,AUX
abkam,abkommen,VERB
wohlbehalten,wohlbehalten,VERB
yaws,yaws,PROPN
Maxxul,Maxxul,PROPN
Gibt,geben,VERB
ausgezeichnet,auszeichnen,VERB
leere,leere,NOUN
Säcke,Sack,NOUN
Einmündung,Einmündung,NOUN
Schnellstraße,Schnellstraße,NOUN
Aleppo,Aleppo,PROPN
Auto,Auto,NOUN
vorbeikam,vorbeiken,VERB
hoben,hoben,VERB
meinetwegen,meinetwegen,ADV
Yaws,Yaws,PROPN
erinnern,erinnern,VERB
jemals,jemals,ADV
festsaß,festsaß,ADJ
Partner,Partner,NOUN
Stücke,Stück,NOUN
zerbrochenen,zerbrochen,ADJ
Taschenlampe,Taschenlampe,NOUN
darübergefahren,darübergefahren,ADJ
Stirnband,Stirnband,NOUN
unseretwegen,unseretwegen,VERB
Tine,Tin,NOUN
Xālid,Xālid,PROPN
sitze,sitzen,VERB
steig,Steig,NOUN
Wirf,Wirf,NOUN
Ladefläche,Ladefläche,NOUN
Fahrzeugs,Fahrzeug,NOUN
Fahrerhaus,Fahrerhaus,NOUN
jenem,jener,DET
Lastwagen,Lastwagen,NOUN
Sünde,Sünde,NOUN
sitzend,sitzend,ADJ
Armaturenbrett,Armaturenbrett,NOUN
mitfahren,mitfahren,VERB
Mein,mein,DET
Lieber,gern,ADV
zurückkehrst,zurückkehr,VERB
könntest,können,AUX
mitnehmen,mitnehmen,VERB
berechnest,berechnessen,VERB
berechne,berechnen,VERB
Soviel,soviel,PRON
aufladen,aufladen,VERB
herumsuchen,herumsuchen,VERB
Füllst,füllen,VERB
taugt,taugen,VERB
liebt,lieben,VERB
einfüllen,einfüllen,VERB
Problem,Problem,NOUN
herumzusuchen,herumsusuchen,VERB
nähten,nähen,VERB
stell,stellen,VERB
vorbeikommt,vorbeikommen,VERB
bringst,bringen,VERB
Kaffeehaus,Kaffeehaus,NOUN
gewartet,warten,VERB
vorbeikommen,vorbeikommen,VERB
wieso,wieso,ADV
während,während,SCONJ
Stahlfeder,Stahlfed,NOUN
befestigt,befestigen,VERB
Kaffeehauses,Kaffeehaus,NOUN
gesteckt,stecken,VERB
streckte,strecken,VERB
wolle,wollen,AUX
jedoch,jedoch,ADV
Abmachung,Abmachung,NOUN
treffen,treffen,VERB
ohnehin,ohnehin,ADV
hinauffährst,hinauffährst,ADV
ärgerte,ärgern,VERB
belog,beliegen,VERB
brauchen,brauchen,VERB
keins,kein,DET
schlaft,schlafen,VERB
berechnen,berechnen,VERB
dachte,denken,VERB
transportiert,transportieren,VERB
Preis,Preis,NOUN
Gerne,gerne,ADV
tu,tun,VERB
gibst,geben,VERB
weckten,wecken,VERB
frei,frei,ADJ
Paß,Paß,NOUN
umsonst,umsonst,ADV
transportieren,transportieren,VERB
geschah,geschehen,VERB
funfundzwanzig,funfundzwanzig,ADJ
erleichterte,erleichtern,VERB
Frieden,Frieden,NOUN
ländlichen,ländlich,ADJ
alt,alt,ADJ
Sprache,Sprache,NOUN
aramäisch,aramäisch,ADJ
Erbe,Erbe,NOUN
Vorvätern,Vorvater,NOUN
geschrieben,schreiben,VERB
gelesen,lesen,VERB
Angehörigen,Angehörige,NOUN
gelernt,lernen,VERB
lehrt,lehren,VERB
Obst,Obst,NOUN
bewässern,bewässern,VERB
natürliche,natürlich,ADJ
Berg,Berg,NOUN
natürliches,natürlich,ADJ
Vorväter,Vorvat,NOUN
Anbeginn,Anbeginn,NOUN
geteilt,teilen,VERB
ʕittōna,ʕittōna,PROPN
Bewässerungszeitraum,Bewässerungszeitraum,NOUN
Familien,Familie,NOUN
vierundzwanzig,vierundzwanzig,NUM
miṣrōʕa,miṣrōʕa,PROPN
genannte,genannt,ADJ
Bewässerungszeiträume,Bewässerungszeitraum,NOUN
Sanduhr,Sanduhr,NOUN
Garten,Garten,NOUN
Zehn,zehn,NUM
miṣrōyṯa,miṣrōyṯa,PROPN
Bewässerungseinheiten,Bewässerungseinheit,NOUN
fünfundvierzig,fünfundvierzig,NUM
sechzig,sechzig,NUM
umgestülpt,umstülpen,VERB
zusteht,zustehen,VERB
bewässert,bewässern,VERB
Aufteilung,Aufteilung,NOUN
ausgestorben,aussterben,VERB
übriggeblieben,übrigbleiben,VERB
Leuten,Leute,NOUN
aufgeteilt,aufteilen,VERB
recht,recht,ADJ
Laterne,Latern,NOUN
šiḳya,šiḳya,PROPN
erleuchtet,erleuchten,VERB
Petroleum,Petroleum,NOUN
Wasserrecht,Wasserrecht,NOUN
Gartens,Garten,NOUN
meiste,meist,DET
Recht,Recht,NOUN
größten,groß,ADJ
Teil,Teil,NOUN
teilt,teilen,VERB
Umdrehen,Umdrehen,NOUN
Anrecht,Anrecht,NOUN
Zuteiler,Zuteiler,NOUN
übrigbleibt,übrigbleiben,VERB
zwackt,zwacken,VERB
Bewässerungszeit,Bewässerungszeit,NOUN
Mühe,Mühe,NOUN
Sonnenaufgang,Sonnenaufgang,NOUN
gebaut,bauen,VERB
Wasserrechts,Wasserrecht,NOUN
gar,gar,ADV
zufrieden,zufrieden,ADJ
Früher,früher,ADJ
Uhren,Uhr,NOUN
brauchte,brauchen,VERB
Herabrieseln,Herabriesel,NOUN
Sandes,Sand,NOUN
fünundzwanzig,fünundzwanzig,ADJ
Einheit,Einheit,NOUN
rechneten,rechnen,VERB
woher,woher,ADV
funfundvierzig,funfundvierzig,ADJ
Durchfluß,Durchfluß,NOUN
umstülpte,umstülpen,VERB
rieselte,rieseln,VERB
herabgerieselt,herabgerieselt,VERB
vergangen,vergehen,VERB
stülpte,stülpen,VERB
zweites,zweit,ADJ
herabrieseln,herabrieseln,VERB
gleiche,gleich,ADJ
funundzwanzig,funundzwanzig,ADJ
Himmel,Himmel,NOUN
geheiligt,heiligen,VERB
Königreich,Königreich,NOUN
Macht,machen,VERB
genügend,genügend,ADJ
vergib,vergeiben,VERB
Sünden,Sunde,NOUN
vergeben,vergeben,VERB
gesündigt,sündigen,VERB
bringe,bringen,VERB
Versuchungen,Versuchung,NOUN
errette,erreten,VERB
Bösen,böse,NOUN
Teufels,Teufel,NOUN
Fest,Fest,NOUN
heiligen,heilig,ADJ
Barbara,Barbara,PROPN
vierten,viert,ADJ
Dezember,Dezember,NOUN
feiert,feiern,VERB
Süßes,Süß,NOUN
berühmt,berühmt,ADJ
Jede,jeder,DET
gesüßten,gesüßen,VERB
ḳaṭōyef,ḳaṭōyef,PROPN
Blätterteiggebäck,Blätterteiggebäck,NOUN
Honig,Honig,NOUN
getränkt,tränken,VERB
freuen,freuen,VERB
Masken,Masken,NOUN
Gesichter,Gesicht,NOUN
Maskerade,Maskerade,NOUN
versammeln,versammeln,VERB
Trommel,Trommel,NOUN
tanzen,tanzen,VERB
barbara,Barbara,PROPN
auserwählte,auserwählt,ADJ
Heilige,heilig,NOUN
schärfte,schärfen,VERB
Schwert,Schwert,NOUN
erschlagen,erschlagen,VERB
Stricknadel,Stricknadel,NOUN
bieten,bieten,VERB
bewirten,bewiren,VERB
Zuckermandeln,Zuckermandeln,NOUN
teilen,teilen,VERB
untereinander,untereinander,ADV
Geburt,Geburt,NOUN
Christi,Christus,PROPN
fünfundzwanzigsten,fünfundzwanzig,NOUN
zwanzigsten,zwanzig,NOUN
Monats,Monat,NOUN
fünfzehnten,fünfzehnt,ADJ
Vorbereitungen,Vorbereitung,NOUN
Wicken,Wicke,NOUN
säen,sein,VERB
gewachsen,wachsen,ADJ
Krippe,Krippe,NOUN
Gesäten,Gesät,NOUN
Figuren,Figur,NOUN
Tiere,Tier,NOUN
Magier,Magier,NOUN
Jesus,Jesus,PROPN
schmükken,schmükken,VERB
zurechtgemacht,zurechtgemachen,VERB
Gottesdienst,Gottesdienst,NOUN
beten,beten,VERB
kehren,kehren,VERB
Gebet,Gebet,NOUN
zurückkommen,zurückkommen,VERB
besuchen,besuchen,VERB
einander,einander,ADV
Kameraden,Kamerad,NOUN
Epiphanienfest,Epiphanienfest,NOUN
sechsten,sechst,ADJ
Januar,Januar,NOUN
erinnert,erinnern,VERB
Taufe,Taufe,NOUN
Jordanfluß,Jordanfluß,NOUN
getauft,taufen,VERB
Täufer,Täufer,NOUN
taufte,taufen,VERB
Bäume,Baum,NOUN
nieder,nieder,ADV
Maulbeerbaum,Maulbeerbaum,NOUN
deswegen,deswegen,ADV
Maulbeerzweige,Maulbeerzweig,NOUN
ṭaṭli,ṭaṭli,PROPN
formen,formen,VERB
Laiben,Laibe,NOUN
Zutaten,Zutaten,NOUN
inzwischen,inzwischen,ADV
Kirche,Kirche,NOUN
Priester,Priester,NOUN
weiht,weihen,VERB
Kreuz,Kreuz,NOUN
Lorbeerblätter,Lorbeerblätter,NOUN
segnet,segnen,VERB
Lorbeer,Lorbeer,NOUN
bespritzt,bespreitzen,VERB
östliche,östlich,ADJ
orthodoxe,orthodox,ADJ
westliche,westlich,ADJ
katholische,katholisch,ADJ
Gnade,Gnade,NOUN
Fastens,Fasten,NOUN
nähert,nähern,VERB
Fasten,Faste,NOUN
vorzubereiten,vorberereiten,VERB
Ausstattung,Ausstattung,NOUN
fasten,fasten,VERB
rein,rein,ADJ
Saubermachen,Saubermachen,NOUN
Samstag,Samstag,NOUN
Sonntag,Sonntag,NOUN
Fastnacht,Fastnacht,NOUN
fettes,fettes,NOUN
Hähnchen,Hähnchen,NOUN
mögliche,möglich,NOUN
solchem,solcher,DET
Montag,Montag,NOUN
angebrochen,anbrechen,VERB
mittags,mittags,ADV
läutet,läuten,VERB
Fastenessen,Fastenesse,NOUN
Mehrheit,Mehrheit,NOUN
sollten,sollen,AUX
arabisch,arabisch,ADJ
Mönch,Mönch,NOUN
ermahnte,ermahnen,VERB
fastete,fasten,VERB
Fastenzeit,Fastenzeit,NOUN
Fastenmahlzeit,Fastenmahlzeit,NOUN
Mönchs,Mönch,NOUN
Butterfett,Butterfett,NOUN
Fett,Fett,NOUN
Donnerstag,Donnerstag,NOUN
fünften,fünft,ADJ
Vorabend,Vorabend,NOUN
Freitags,freitags,ADV
teil,teil,ADV
Lob,Lob,NOUN
Herrin,Herrin,NOUN
siebte,siebt,ADJ
Jünger,Jünger,NOUN
Reliquien,Reliquie,NOUN
tragen,tragen,VERB
Ikonen,Ikon,NOUN
Kreis,Kreis,NOUN
vierte,viert,ADJ
Blüten,Blüte,NOUN
Blumen,Blume,NOUN
ausrichtet,ausrichten,VERB
Opferbrot,Opferbrot,NOUN
folgenden,folgend,ADJ
Freitag,Freitag,NOUN
letzte,letzt,ADJ
Lobgesänge,Lobgesänge,NOUN
Wechselgesang,Wechselgesang,NOUN
Lazarus,Lazarus,PROPN
Erinnerung,Erinnerung,NOUN
auferweckt,auferwecken,VERB
Palmsonntag,Palmsonntag,NOUN
Kerzen,Kerze,NOUN
besorgt,besorgen,VERB
Olivenzweige,Olivenzweig,NOUN
schmückt,schmücken,VERB
Bild,Bild,NOUN
Jesu,Jesus,PROPN
Betlehem,Betlehem,PROPN
Jerusalem,Jerusalem,PROPN
Palmzweigen,Palmzweig,NOUN
empfangen,empfangen,VERB
Rundgang,Rundgang,NOUN
Olivenzweigen,Olivenzweigen,NOUN
geschmückt,schmücken,VERB
getragen,tragen,VERB
Kinden,Kind,NOUN
Olivenbäumen,Olivenbaum,NOUN
Herumgehen,Herumgehen,NOUN
Oliven,Olive,NOUN
blatt,blatt,NOUN
Karwoche,Karwoche,NOUN
Messias,Messias,PROPN
ergriffen,ergreifen,VERB
kreuzigten,kreuzigen,VERB
verweilen,verweilen,VERB
lesen,lesen,VERB
dreizehn,dreizehn,NUM
Evangelien,Evangelie,NOUN
Tisch,Tisch,NOUN
Dreiecks,Dreieck,NOUN
Text,Text,NOUN
Evangeliums,Evangelium,NOUN
liest,lesen,VERB
Kerze,Kerze,NOUN
Freitagabend,Freitagabend,NOUN
Beerdigung,Beerdigung,NOUN
Treppe,Treppe,NOUN
zusammengebaut,zusammenbauen,VERB
Kirchenbänken,Kirchenbank,NOUN
bedeckt,bedeckt,VERB
Kirchenbänke,Kirchenbank,NOUN
Heiligen,Heilige,NOUN
bilder,Bild,NOUN
davor,davor,ADV
Totenbahre,Totenbahre,NOUN
herabgenommen,herabnenommen,VERB
gebetet,leten,VERB
Grab,Grab,NOUN
höhle,hoch,NOUN
Holzkiste,Holzkiste,NOUN
zweigen,zweigen,VERB
Kuppel,Kuppel,NOUN
entzünden,entzünden,VERB
dreimal,dreimal,ADV
löschen,löschen,VERB
Blume,Blume,NOUN
Lorbeerzweig,Lorbeerzweig,NOUN
geschmückten,geschmücken,VERB
Oster,Oster,PROPN
festes,fest,ADJ
Eindringens,Eindringen,NOUN
Öffne,öffnen,VERB
Thrones,Thron,NOUN
eintrete,eintreten,VERB
Schlägen,Schlag,NOUN
öffnet,öffnen,VERB
treten,treten,VERB
tritt,treten,VERB
Christus,Christus,PROPN
auferstanden,auferstehen,VERB
antworten,antworten,VERB
wirklich,wirklich,ADJ
frühstücken,frühstücken,VERB
Jedes,jeder,DET
sollt,sollen,AUX
herumgegangen,herumgehen,VERB
herumgehen,herumgehen,VERB
Sprachen,Sprache,NOUN
Evangelium,Evangelium,NOUN
Festzug,Festzug,NOUN
ankommen,ankommen,VERB
umgebenen,umgebenen,VERB
Klosters,Kloster,NOUN
Georg,Georg,PROPN
Werk,Werk,NOUN
dreiundzwanzigsten,dreiundzwanzig,NOUN
April,April,NOUN
Heiligtum,Heiligtum,NOUN
Heiligtums,Heiligtum,NOUN
Alten,alt,NOUN
fassen,fassen,VERB
kette,kette,NOUN
anfassen,anfassen,VERB
singt,singen,VERB
elf,elf,NUM
Stühle,Stuhl,NOUN
betet,beten,VERB
Gedenkgottesdienst,Gedenkgottesdienst,NOUN
Reigentanz,Reigentanz,NOUN
stattfindet,stattfinden,VERB
Mai,Mai,NOUN
Marienmonat,Marienmonat,NOUN
späten,spät,NOUN
Prozession,Prozession,NOUN
Kirchentür,Kirchentür,NOUN
hinteren,hinter,ADJ
Stoff,Stoff,NOUN
vierzig,vierzig,NUM
feierte,feiern,VERB
Henna,Henna,PROPN
färbte,färben,VERB
schaukeln,schaukeln,VERB
oberhalb,oberhalb,ADP
trank,Trank,NOUN
spielte,spielen,VERB
Kīki,Kīki,PROPN
Šamma,Šamma,PROPN
verbringend,verbringend,ADJ
Am,an,ADP
färbt,färben,VERB
bescheiden,bescheiden,ADJ
liebten,lieben,VERB
Wippen,Wippe|Rippen,NOUN
schweren,schwer,ADJ
zweien,zwei,NUM
dreien,drei,NOUN
wippten,wippen,VERB
auf-,auf,ADP
niederzusteigen,niedersteigen,VERB
Waage,Waage,NOUN
Wochen,Woche,NOUN
Pfingsten,Pfingsten,PROPN
Fronleichnamsfest,Fronleichnamsfest,NOUN
gefeiert,feiern,VERB
Jüngern,Jünger,NOUN
Körper,Körper,NOUN
Gestalt,Gestalt,NOUN
Brotes,Brotes,NOUN
weiße,weiß,ADJ
reichen,reichen,VERB
volle,voll,ADJ
Größe,Größe,NOUN
Flügel,Flügel,NOUN
Engel,Engel,NOUN
Schüssel,Schüssel,NOUN
zerpflückt,zerpflücken,VERB
aufgehängt,aufhängen,VERB
benannt,benennen,VERB
Lavandius,Lavandius,PROPN
übliche,üblich,ADJ
rechten,recht,NOUN
Prieser,Prieser,PROPN
heraustritt,heraustreiten,VERB
Kirchentüre,Kirchentüre,NOUN
Baldachin,Baldachin,PROPN
Monstranz,Monstranz,NOUN
Bewegung,Bewegung,NOUN
voran,voran,ADV
Herrgott,Herrgott,NOUN
bereitet,bereiten,VERB
Olivenblätter,Olivenblatt,NOUN
guter,gut,ADJ
Geruch,Geruch,NOUN
ausströmt,ausströmen,VERB
rezitieren,rezitieren,VERB
singend,singend,ADJ
Gesang,Gesang,NOUN
streuen,streuen,VERB
zerpflückte,zerpflückt,ADJ
Beten,Bete,NOUN
teils,teils,ADV
Kölnisch,kölnisch,ADJ
Parfüm,Parfüm,NOUN
Gemeinde,Gemeinde,NOUN
Weise,Weise,NOUN
heruntergekommen,herunterkommen,VERB
Plätze,Platz,NOUN
herausgekommen,herauskommen,VERB
orthodoxen,orthodox,ADJ
Elias,Elias,PROPN
geweihten,geweiht,ADJ
Vierteln,Viertel,NOUN
Herrn,Herr,NOUN
zurückgekommen,zurückkommen,VERB
nuh,nuh,ADV
Gelübde,Gelübde,NOUN
abgelegt,ablegen,VERB
barfuß,barfuß,ADJ
siebzehnten,siebzehnt,ADJ
Juni,Juni,NOUN
Märtyrertod,Märtyrertod,NOUN
tag,tagen,NOUN
kübel,Kübel,NOUN
zusammengebracht,zusammenbringen,VERB
Kübeln,Kübel,NOUN
brennenden,brennend,ADJ
Kübel,Kübel,NOUN
rundherum,rundherum,ADV
immerfort,immerfort,ADV
läuten,läuten,VERB
predigt,predigen,VERB
spricht,sprechen,VERB
Botschaft,Botschaft,NOUN
verbreiten,verbreiten,VERB
verfolgten,verfolgen,VERB
starb,sterben,VERB
dreihundertzwanzig,dreihundertzwanzig,NUM
König,König,NOUN
Konstantinopel,Konstantinopel,PROPN
Konstantin,Konstantin,PROPN
Helena,Helena,PROPN
Heiden,Heiden,PROPN
bekehrten,bekehren,VERB
Christentum,Christentum,NOUN
bekehrt,bekehren,VERB
Glaube,Glaube,NOUN
helena,Helena,PROPN
gekreuzigt,kreuzigen,VERB
Versteck,Versteck,NOUN
herauszuholen,herausholen,VERB
gefunden,finden,VERB
höchsten,hoch,ADJ
Sobald,sobald,SCONJ
verlassen,verlassen,VERB
Einwohnern,Einwohner,NOUN
Ferne,Ferne,NOUN
seht,sehen,VERB
entfachen,entfachen,VERB
Bergen,Berg|Bergen,NOUN
wißt,weißen,VERB
Plan,Plan,NOUN
Vertraut,vertraut,ADJ
rüstete,rüsten,VERB
Zuversicht,Zuversicht,NOUN
ankamen,ankommen,VERB
trugen,tragen,VERB
entzündeten,entzünden,VERB
Punkt,Punkt,NOUN
entstand,entstehen,VERB
Idee,Idee,NOUN
Helenas,Helenas,PROPN
dreizehnte,dreizehnte,NUM
Kreuze,Kreuz,NOUN
